Fechas,BANESTADO,BBVA,SANTANDER,BANCHILE,CREDICORP,BICE,BCI,LARRAIN VIAL,CONSORCIO,ITAU,NEVASA,SECURITY,EUROAMERICA,CORPCAP,TANNER,BTG PACTUAL,SCOTIA,FINANZAS,MBI,PENTA,DEUTSCHE
Jan_12,2373789,1288278,1290983,471116,1428683,1122994,1164002,869882,447702,,240525,446591,321503,387529,7320,197415,110847,3844,76957,56810,85369
Feb_12,1906003,947628,957391,452780,2771257,854112,499267,661248,382799,,287153,432756,178581,187683,41163,138119,67070,649,39184,49761,119653
Mar_12,2520633,1295625,1188642,406966,2400313,1233542,836792,694401,327937,,333799,456580,222367,94541,99322,217446,110650,3122,51203,82011,149049
Apr_12,1987487,1059162,1086108,401331,1415125,707252,413354,535790,403016,,411553,419991,288617,236579,56251,197163,164248,1636,53244,66344,61524
May_12,3402286,1760559,1911559,515082,757956,1119270,585241,697886,446523,2136,351177,340903,289275,107142,20840,216342,254920,4883,49600,91359,222165
Jun_12,3522854,1341433,3007291,790258,512800,1178865,445093,641679,462108,524,279527,268013,166254,198264,6194,235728,305170,2385,82282,60544,130337
Jul_12,2187290,1022260,2050939,719386,705408,1047643,356429,544362,331203,,170569,225718,221592,233185,22748,178922,201919,1005,77654,31310,63756
Aug_12,1835598,928753,2101697,439250,753919,1540949,542337,596421,383965,11155,160681,223246,333004,130583,16046,248419,152318,3570,86255,58150,138739
Sep_12,1450094,533207,1314848,490983,780274,812126,308001,393486,440411,52464,120058,178120,113922,173407,7680,142876,146006,2881,111423,20993,119129
Oct_12,1556010,649219,2071574,496522,858273,1101896,469847,460681,579238,65816,124427,213774,237088,504227,6538,150552,115647,2536,46276,76732,29707
Nov_12,1578924,536662,1754146,662779,1121827,1111486,337439,699740,707816,51886,188245,207191,195733,220862,11713,181522,174421,3456,58420,125681,142366
Dec_12,1499582,1102169,1194573,546327,1497071,1005486,518753,545987,502568,30680,230739,230984,116657,452973,11912,187866,97374,502,58688,158178,118762
Jan_13,2289704,744113,1661438,903930,1241193,1183393,351400,868766,853447,47048,298998,301784,250693,400418,15327,180040,175512,4108,60466,80115,491407
Feb_13,2021875,882278,1379006,532130,1314364,837287,400012,1081222,791758,1056,287674,140813,590512,221541,27586,153969,141807,618,45045,240106,450570
Mar_13,1475656,512869,963670,564984,476747,834646,648650,783149,684855,4078,245328,116717,469507,219703,16772,198982,211934,49754,73978,107801,270147
Apr_13,2267791,1246700,2352933,1360920,943971,1023088,610988,866916,987647,50963,231434,179278,441309,659987,29530,344390,172022,131340,74350,144636,296046
May_13,1540884,906096,2123773,1137432,2005047,905626,489536,1341278,1084889,8666,131968,210826,360923,455911,49800,213226,234583,146228,72580,247890,244810
Jun_13,2022471,1724087,1792741,912902,1681763,1313836,634482,767346,925859,18473,201472,305665,459191,493530,27192,199514,169609,142696,97310,260547,365665
