Banco,ener_12,feb_12,mar_12,abri_12,mayo_12,jun_12,jul_12,agos_12,sept_12,oct_12,nov_12,dici_12,ener_13,feb_13,mar_13,abri_13,mayo_13,jun_13,jul_13,agos_13,sept_13,oct_13,nov_13,dici_13,ener_14,feb_14,mar_14,abri_14,mayo_14,jun_14,jul_14,agos_14,sept_14,oct_14,nov_14,dici_14,ener_15,feb_15,mar_15,abri_15,mayo_15,jun_15,jul_15,agos_15,sept_15,oct_15,nov_15,dici_15,ener_16,feb_16,mar_16,abri_16,mayo_16,jun_16,jul_16,agos_16,sept_16,oct_16,nov_16,dici_16,ener_17,feb_17,mar_17,abri_17,mayo_17,jun_17,jul_17,agos_17,sept_17,oct_17,nov_17,dici_17,ener_18,feb_18,mar_18,abri_18,mayo_18,jun_18,jul_18,agos_18,sept_18,oct_18,nov_18,dici_18,ener_19,feb_19,mar_19,abri_19,mayo_19,jun_19,jul_19,agos_19,sept_19,oct_19,nov_19,dici_19
BANESTADO,2373789,1906003,2520633,1987487,3402286,3522854,2187290,1835598,1450094,1556010,1578924,1499582,2289704,2021875,1475656,2267791,1540884,2022471,1853305,1464395,1751070,1697680,1867819,1661525,1930014,1286362,2234858,1836408,2174324,1947785,3050041,3047733,4062006,2622131,2595968,2765964,1944509,3499603,2699023,2039786,2065630,2508491,1908512,1811106,1349664,1228131,2154685,1366492,1520269,1582119,1536900,1653355,2638120,2196209,2416676,1947402,2272677,1883907,1954966,2979241,2084882,1527090,2658940,3042256,3302148,3632363,3200021,3843888,2207950,3649299,3854442,2156135,2126408,3274311,2460550,2065107,2018598,1310628,1779776,2768321,1678859,2055909,2162885,2041319,2624805,1702511,1872500,2260347
BBVA,1288278,947628,1295625,1059162,1760559,1341433,1022260,928753,533207,649219,536662,1102169,744113,882278,512869,1246700,906096,1724087,1135018,1368741,1326645,1635065,1678909,1153391,1666230,1641676,1990519,2201777,2692521,1760663,2048973,2840655,2447783,3069707,1913893,1894647,1993293,2218734,2118560,1886402,1251295,1821618,2300502,2634830,2442759,2268738,2172086,1315440,2001866,2226070,2393414,1455730,2295127,2804788,2869324,2405117,2521073,2043590,2777660,2255350,3027760,2100773,2782708,2812568,2632301,3050767,2694454,2305422,1528043,3998506,1960168,1933199,2962046,2116071,1754637,2095950,1990673,1628874,1697503,1924342,797126,2202761,1724015,2177455,2264126,2032132,2954469,
SANTANDER,1290983,957391,1188642,1086108,1911559,3007291,2050939,2101697,1314848,2071574,1754146,1194573,1661438,1379006,963670,2352933,2123773,1792741,1821516,1406131,1022185,1332244,1591484,1560624,1449025,1003317,1659807,1482896,1288534,981484,1373648,1259087,1833681,1821699,1152452,1544873,1442623,1433335,1229824,1059634,889990,1607675,2070667,2931068,1829585,2091425,1702754,1141601,1088045,1345928,2363842,1389584,2114309,2464894,1959771,1743278,2128033,1604909,2159647,2035367,2122176,933213,2226572,1612746,2395740,2201409,2854754,2506947,1296272,3720043,2396013,1892138,2737365,3220823,2582524,1767598,2442587,2374411,3049876,2567576,1608113,2700691,1941678,2213030,1712968,1489891,1460575,3102703
BANCHILE,471116,452780,406966,401331,515082,790258,719386,439250,490983,496522,662779,546327,903930,532130,564984,1360920,1137432,912902,795040,541420,919265,884371,789228,811874,1483797,659189,1358816,956705,750926,1020077,1551665,1501798,1785677,1134122,1029390,902419,862196,999153,997320,914203,818682,948414,990006,1409037,723662,718570,945522,753035,1141521,827528,754593,1063549,1100874,1196833,1583310,1211735,852715,689087,1122438,1301700,811873,874863,1231728,1727983,1985049,1381645,2055432,1815215,1094032,1919431,1996311,1556239,2526035,2141753,2754220,1584039,2004252,2271800,3738981,3083847,1743248,3213662,2213721,4413813,2680937,3854212,4317647,4023375
CREDICORP,1428683,2771257,2400313,1415125,757956,512800,705408,753919,780274,858273,1121827,1497071,1241193,1314364,476747,943971,2005047,1681763,1158908,1354641,1206479,1470552,970090,772318,504075,577589,974859,660148,1045841,1007251,959943,978359,1082717,1166223,973625,1107150,1043527,809887,1533031,1895928,1996139,2268224,2585242,2364666,2022894,1917843,1833038,1132885,1157235,834138,744274,687133,970911,415407,576944,246488,383933,719480,,,,,900547,814563,1158343,1045824,1172235,1437764,780226,1304799,1132948,725773,595399,396209,518363,665918,441679,373200,574225,674860,345564,385540,406880,274402,606045,,436993,
BICE,1122994,854112,1233542,707252,1119270,1178865,1047643,1540949,812126,1101896,1111486,1005486,1183393,837287,834646,1023088,905626,1313836,2061099,1521601,2068580,1919831,1594953,1456521,2102330,1596457,2004298,1485123,1369720,1033571,1533362,1582166,1671814,1319270,1332598,1707461,1607759,1699078,1482233,844829,804043,1754531,1407696,1177620,1589584,1137153,1073718,682167,1091706,974338,1208677,831571,1147380,1195866,1386506,1215606,1078611,1259191,1473020,1141148,1118344,940705,1302776,1378649,822893,1401717,1035624,1598839,1049715,1419091,929393,635040,1158965,930712,1122721,1194649,1155261,708736,845123,1215965,540362,585201,636138,602329,693117,778642,1058255,799362
BCI,1164002,499267,836792,413354,585241,445093,356429,542337,308001,469847,337439,518753,351400,400012,648650,610988,489536,634482,667969,890302,1033941,1870340,1008626,937661,1066394,975926,1102564,1258100,1242477,1062962,949938,1150603,1475008,1367568,972590,1304738,1124867,1431242,1765012,1241418,1216174,1164787,1763024,1992136,1268572,1355557,1430186,1714569,1321664,1032776,1242433,1137298,1259076,1209835,1385501,1591195,1428806,1176206,1364099,1283704,1312625,1308692,1613057,1350093,1626003,1162536,2034347,1070575,815764,2274403,1321367,1256356,1233410,1344838,1154302,1107855,1458479,793316,972394,1224924,617207,1036723,891591,849157,1054920,1314669,1975360,1723615
LARRAIN VIAL,869882,661248,694401,535790,697886,641679,544362,596421,393486,460681,699740,545987,868766,1081222,783149,866916,1341278,767346,1008513,1137154,1221993,1207346,1764679,1304614,1854646,1178985,1583076,2049202,1701888,1510721,1663917,1677373,1579508,1293421,1142634,1021969,1020299,652648,1016704,903312,772922,966599,1110649,1450242,1055209,977447,906789,846886,1122237,1097010,1274207,1392675,1282473,987379,1081818,840951,1282018,947553,1165435,840820,848660,1296795,1378832,888941,933196,797208,,,693212,957420,801468,674021,508150,327795,413965,456838,565800,339779,283697,432125,236292,,337118,396975,,507385,,
CONSORCIO,,447702,382799,327937,403016,446523,462108,331203,383965,440411,579238,707816,502568,853447,791758,684855,987647,1084889,925859,982917,876989,767335,926819,880130,986091,861983,573643,764255,803281,997146,720936,836767,1101244,1008598,881485,817601,1033492,835032,672165,1036470,867125,891067,984323,916736,995567,1788302,1102016,1097998,1033551,917607,892213,906220,721864,906504,1015891,1379314,988189,867806,872313,944832,1156462,1161360,1091147,1392411,994236,,809763,663159,,485400,684488,,634711,379085,,,446887,,,,,,,,,,,,
ITAU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543497,,,846230,561384,,,406162,,509625,,,634228,542015,1252724,896427,612696,832598,660281,675755,750150,686513,,,,710559,500766,,,,,1138905,,847743,1069873,919659,723270,1067742,970870,682328,1246902,1022414,886362,923109,1201675,983036,1448797,1366615,1084694,990455,1838406,1184226,1355734,1284344,1471027,1456622,1337446,1869334,1879959
