BANESTADO,1,2,1,1,1,1,1,2,1,2,2,1,1,1,1,2,3,1,2,2,2,3,1,1,2,3,1,3,2,1,1,1,1,2,1,1,2,1,1,1,1,1,4,5,7,5,2,2,2,2,3,1,1,3,2,2,2,2,3,1,3,2,2,1,1,1,1,1,1,3,1,1,4,1,3,2,2,4,3,2,2,4,2,4,2,3,4,4,
BBVA,4,4,3,4,3,3,4,4,5,5,8,4,8,5,8,4,7,3,5,4,3,4,3,5,4,1,3,1,1,2,2,2,2,1,2,2,1,2,2,3,3,3,2,2,1,1,1,3,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,2,2,2,3,3,2,1,4,2,1,4,4,1,4,3,4,4,5,3,4,3,3,2,2,,
SANTANDER,3,3,5,3,2,2,2,1,2,1,1,3,2,2,2,1,1,2,3,3,7,6,5,2,6,5,4,5,5,8,6,6,3,3,4,4,4,4,6,5,6,5,3,1,3,2,4,4,9,4,2,4,3,2,3,3,3,3,2,3,2,8,3,4,3,3,2,2,3,2,2,3,2,2,2,3,1,1,2,3,3,2,3,2,4,4,6,3,
BANCHILE,8,8,9,,8,5,5,8,6,8,7,6,5,9,7,3,5,7,8,9,8,9,9,8,5,7,6,7,9,6,4,5,4,8,6,9,8,6,9,6,7,9,9,7,,10,9,9,6,10,9,6,7,5,4,6,8,10,7,4,,9,8,3,4,5,4,4,4,5,3,4,3,3,1,4,3,2,1,1,1,1,1,1,1,1,1,1,
CREDICORP,2,1,2,2,5,7,6,5,4,4,3,2,3,3,9,7,2,4,4,5,5,5,7,9,9,8,8,10,7,7,7,9,8,7,7,6,6,7,4,2,2,2,1,3,2,3,3,5,5,9,10,,8,,,,,9,,10,6,10,10,,6,7,6,6,7,7,6,8,8,8,8,8,10,8,8,9,8,9,8,,8,,9,,
BICE,6,5,4,5,4,4,3,3,3,3,4,5,4,6,3,5,8,5,1,1,1,1,4,3,1,2,2,4,4,5,5,4,5,5,3,3,3,3,5,9,8,4,6,9,5,6,8,10,8,7,6,8,6,6,5,5,6,4,4,7,9,7,7,5,9,4,8,5,5,6,8,10,6,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,
BCI,5,7,6,8,7,9,8,7,9,9,9,8,,,6,10,9,9,9,7,6,2,6,7,7,6,7,6,6,4,8,7,7,4,8,5,5,5,3,4,4,6,5,4,8,4,5,1,3,6,5,5,5,4,6,4,4,5,5,5,4,3,4,6,5,6,5,7,6,4,5,5,5,5,5,7,5,6,6,6,6,6,6,6,6,6,3,6,
LARRAIN VIAL,7,6,7,6,6,6,7,6,8,10,6,7,6,4,4,8,4,8,6,6,4,7,2,4,3,4,5,2,3,3,3,3,6,6,5,8,7,9,8,7,9,8,8,6,9,9,10,8,7,5,4,3,4,8,8,9,5,6,6,9,10,4,6,10,7,10,,,8,9,10,9,9,9,9,9,8,10,,,,,9,8,,9,,,
CONSORCIO,9,10,,10,9,8,9,9,7,6,5,9,7,7,5,6,6,6,7,8,9,8,8,6,8,9,9,8,8,9,9,8,9,9,9,7,9,8,7,8,5,7,10,,4,7,7,7,10,8,8,10,10,7,7,8,7,8,9,6,7,5,5,8,,9,10,,,,,,10,,,10,,,,,,,,,,,,,
ITAU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,8,10,,,,,,,,,,10,,,,,,8,,,7,8,,7,9,9,8,7,6,7,6,7,5,6,5,5,5,4,5,5,5,5,5,5,5,
